Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CL1,C303657,V303657,10000,2025-04-21,1
CL2,C160067,V160067,10000,2025-02-27,1
CL3,C221261,V221261,10000,2025-03-21,1
CL4,C618958,V618958,10000,2025-08-14,1
CL5,C285623,V285623,10000,2025-04-14,1
CL6,C304383,V304383,10000,2025-04-21,1
CL7,C989849,V989849,10000,2025-12-28,1
CL8,C991774,V991774,10000,2025-12-28,1
CL9,C515462,V515462,10000,2025-07-07,1
CL10,C348856,V348856,10000,2025-05-07,1
CL11,C324079,V324079,10000,2025-04-28,1
CL12,C368674,V368674,10000,2025-05-14,1
CL13,C385513,V385513,10000,2025-05-21,1
CL14,C972233,V972233,10000,2025-12-21,1
CL15,C36085,V36085,10000,2025-01-13,1
CL16,C56396,V56396,10000,2025-01-20,1
CL17,C74210,V74210,10000,2025-01-27,1
CL18,C805184,V805184,10000,2025-10-21,1
CL19,C953128,V953128,10000,2025-12-14,1
CL20,C324095,V324095,10000,2025-04-28,1
CL21,C552860,V552860,10000,2025-07-21,1
CL22,C325184,V325184,10000,2025-04-28,1
CL23,C933395,V933395,10000,2025-12-07,1
CL24,C141670,V141670,10000,2025-02-20,1
CL25,C55542,V55542,10000,2025-01-20,1
CL26,C888969,V888969,10000,2025-11-21,1
CL27,C933024,V933024,10000,2025-12-07,1
CL28,C122714,V122714,10000,2025-02-13,1
CL29,C453309,V453309,10000,2025-06-14,1
CL30,C434167,V434167,10000,2025-06-07,1
CL31,C971112,V971112,10000,2025-12-21,1
CL32,C989781,V989781,10000,2025-12-28,1
CL33,C766055,V766055,10000,2025-10-07,1
CL34,C851768,V851768,10000,2025-11-07,1
CL35,C972383,V972383,10000,2025-12-21,1
CL36,C159838,V159838,10000,2025-02-27,1
CL37,C451831,V451831,10000,2025-06-14,1
CL38,C871484,V871484,10000,2025-11-14,1
CL39,C182120,V182120,10000,2025-03-07,1
CL40,C637417,V637417,10000,2025-08-21,1
CL41,C55059,V55059,10000,2025-01-20,1
CL42,C368314,V368314,10000,2025-05-14,1
CL43,C571965,V571965,10000,2025-07-28,1
CL44,C888723,V888723,10000,2025-11-21,1
CL45,C637706,V637706,10000,2025-08-21,1
CL46,C952845,V952845,10000,2025-12-14,1
CL47,C909768,V909768,10000,2025-11-28,1
CL48,C76355,V76355,10000,2025-01-27,1
CL49,C490130,V490130,10000,2025-06-28,1
CL50,C199515,V199515,10000,2025-03-14,1
CL51,C122476,V122476,10000,2025-02-13,1
CL52,C218770,V218770,10000,2025-03-21,1
CL53,C489789,V489789,10000,2025-06-28,1
CL54,C683733,V683733,10000,2025-09-07,1
CL55,C722334,V722334,10000,2025-09-21,1
CL56,C953418,V953418,10000,2025-12-14,1
CL57,C851519,V851519,10000,2025-11-07,1
CL58,C989912,V989912,10000,2025-12-28,1
CL59,C180904,V180904,10000,2025-03-07,1
CL60,C704523,V704523,10000,2025-09-14,1
CL61,C703529,V703529,10000,2025-09-14,1
CL62,C451157,V451157,10000,2025-06-14,1
CL63,C238219,V238219,10000,2025-03-28,1
CL64,C56925,V56925,10000,2025-01-20,1
CL65,C432769,V432769,10000,2025-06-07,1
CL66,C266832,V266832,10000,2025-04-07,1
CL67,C785796,V785796,10000,2025-10-14,1
CL68,C907795,V907795,10000,2025-11-28,1
CL69,C909585,V909585,10000,2025-11-28,1
CL70,C471337,V471337,10000,2025-06-21,1
CL71,C17275,V17275,10000,2025-01-06,1
CL72,C366477,V366477,10000,2025-05-14,1
CL73,C907595,V907595,10000,2025-11-28,1
CL74,C766695,V766695,10000,2025-10-07,1
CL75,C35573,V35573,10000,2025-01-13,1
CL76,C889952,V889952,10000,2025-11-21,1
CL77,C141008,V141008,10000,2025-02-20,1
CL78,C571760,V571760,10000,2025-07-28,1
CL79,C932064,V932064,10000,2025-12-07,1
CL80,C637402,V637402,10000,2025-08-21,1
CL81,C304596,V304596,10000,2025-04-21,1
CL82,C160376,V160376,10000,2025-02-27,1
CL83,C75794,V75794,10000,2025-01-27,1
CL84,C723926,V723926,10000,2025-09-21,1
CL85,C990378,V990378,10000,2025-12-28,1
CL86,C637641,V637641,10000,2025-08-21,1
CL87,C121434,V121434,10000,2025-02-13,1
CL88,C434309,V434309,10000,2025-06-07,1
CL89,C489902,V489902,10000,2025-06-28,1
CL90,C514530,V514530,10000,2025-07-07,1
CL91,C141294,V141294,10000,2025-02-20,1
CL92,C491844,V491844,10000,2025-06-28,1
CL93,C888513,V888513,10000,2025-11-21,1
CL94,C765852,V765852,10000,2025-10-07,1
CL95,C723130,V723130,10000,2025-09-21,1
CL96,C870864,V870864,10000,2025-11-14,1
CL97,C140389,V140389,10000,2025-02-20,1
CL98,C120665,V120665,10000,2025-02-13,1
CL99,C990404,V990404,10000,2025-12-28,1
CL100,C907331,V907331,10000,2025-11-28,1
CL101,C908925,V908925,10000,2025-11-28,1
CL102,C121112,V121112,10000,2025-02-13,1
CL103,C786555,V786555,10000,2025-10-14,1
CL104,C823157,V823157,10000,2025-10-28,1
CL105,C349309,V349309,10000,2025-05-07,1
CL106,C636854,V636854,10000,2025-08-21,1
CL107,C851797,V851797,10000,2025-11-07,1
CL108,C266061,V266061,10000,2025-04-07,1
CL109,C17174,V17174,10000,2025-01-06,1
CL110,C766696,V766696,10000,2025-10-07,1
CL111,C870110,V870110,10000,2025-11-14,1
CL112,C684669,V684669,10000,2025-09-07,1
CL113,C323755,V323755,10000,2025-04-28,1
CL114,C180766,V180766,10000,2025-03-07,1
CL115,C35861,V35861,10000,2025-01-13,1
CL116,C952089,V952089,10000,2025-12-14,1
CL117,C951082,V951082,10000,2025-12-14,1
CL118,C56226,V56226,10000,2025-01-20,1
CL119,C785205,V785205,10000,2025-10-14,1
CL120,C18670,V18670,10000,2025-01-06,1
CL121,C201534,V201534,10000,2025-03-14,1
CL122,C871374,V871374,10000,2025-11-14,1
CL123,C285277,V285277,10000,2025-04-14,1
CL124,C366887,V366887,10000,2025-05-14,1
CL125,C158752,V158752,10000,2025-02-27,1
CL126,C889414,V889414,10000,2025-11-21,1
CL127,C405853,V405853,10000,2025-05-28,1
CL128,C619897,V619897,10000,2025-08-14,1
CL129,C786033,V786033,10000,2025-10-14,1
CL130,C870336,V870336,10000,2025-11-14,1
CL131,C55174,V55174,10000,2025-01-20,1
CL132,C703301,V703301,10000,2025-09-14,1
CL133,C434278,V434278,10000,2025-06-07,1
CL134,C322970,V322970,10000,2025-04-28,1
CL135,C324379,V324379,10000,2025-04-28,1
CL136,C554541,V554541,10000,2025-07-21,1
CL137,C785404,V785404,10000,2025-10-14,1
CL138,C199995,V199995,10000,2025-03-14,1
CL139,C140350,V140350,10000,2025-02-20,1
CL140,C102260,V102260,10000,2025-02-06,1
CL141,C724061,V724061,10000,2025-09-21,1
CL142,C554534,V554534,10000,2025-07-21,1
CL143,C535532,V535532,10000,2025-07-14,1
CL144,C303431,V303431,10000,2025-04-21,1
CL145,C932688,V932688,10000,2025-12-07,1
CL146,C552308,V552308,10000,2025-07-21,1
CL147,C888419,V888419,10000,2025-11-21,1
CL148,C515305,V515305,10000,2025-07-07,1
CL149,C552968,V552968,10000,2025-07-21,1
CL150,C600511,V600511,10000,2025-08-07,1
CL151,C35958,V35958,10000,2025-01-13,1
CL152,C742897,V742897,10000,2025-09-28,1
CL153,C704594,V704594,10000,2025-09-14,1
CL154,C619162,V619162,10000,2025-08-14,1
CL155,C199821,V199821,10000,2025-03-14,1
CL156,C305571,V305571,10000,2025-04-21,1
CL157,C534416,V534416,10000,2025-07-14,1
CL158,C286192,V286192,10000,2025-04-14,1
CL159,C723474,V723474,10000,2025-09-21,1
CL160,C553111,V553111,10000,2025-07-21,1
CL161,C909651,V909651,10000,2025-11-28,1
CL162,C516382,V516382,10000,2025-07-07,1
CL163,C823288,V823288,10000,2025-10-28,1
CL164,C182358,V182358,10000,2025-03-07,1
CL165,C75869,V75869,10000,2025-01-27,1
CL166,C348411,V348411,10000,2025-05-07,1
CL167,C953521,V953521,10000,2025-12-14,1
CL168,C599194,V599194,10000,2025-08-07,1
CL169,C740546,V740546,10000,2025-09-28,1
CL170,C286110,V286110,10000,2025-04-14,1
CL171,C141925,V141925,10000,2025-02-20,1
CL172,C804859,V804859,10000,2025-10-21,1
CL173,C786853,V786853,10000,2025-10-14,1
CL174,C102554,V102554,10000,2025-02-06,1
CL175,C907223,V907223,10000,2025-11-28,1
CL176,C122931,V122931,10000,2025-02-13,1
CL177,C952459,V952459,10000,2025-12-14,1
CL178,C489632,V489632,10000,2025-06-28,1
CL179,C907716,V907716,10000,2025-11-28,1
CL180,C491091,V491091,10000,2025-06-28,1
CL181,C56521,V56521,10000,2025-01-20,1
CL182,C17015,V17015,10000,2025-01-06,1
CL183,C704098,V704098,10000,2025-09-14,1
CL184,C952000,V952000,10000,2025-12-14,1
CL185,C989677,V989677,10000,2025-12-28,1
CL186,C953200,V953200,10000,2025-12-14,1
CL187,C658422,V658422,10000,2025-08-28,1
CL188,C573706,V573706,10000,2025-07-28,1
CL189,C140328,V140328,10000,2025-02-20,1
CL190,C306045,V306045,10000,2025-04-21,1
CL191,C638873,V638873,10000,2025-08-21,1
CL192,C36601,V36601,10000,2025-01-13,1
CL193,C37501,V37501,10000,2025-01-13,1
CL194,C349051,V349051,10000,2025-05-07,1
CL195,C514791,V514791,10000,2025-07-07,1
CL196,C766528,V766528,10000,2025-10-07,1
CL197,C637962,V637962,10000,2025-08-21,1
CL198,C220138,V220138,10000,2025-03-21,1
CL199,C347536,V347536,10000,2025-05-07,1
CL200,C120526,V120526,10000,2025-02-13,1
CL201,C305948,V305948,10000,2025-04-21,1
CL202,C406467,V406467,10000,2025-05-28,1
CL203,C406624,V406624,10000,2025-05-28,1
CL204,C286036,V286036,10000,2025-04-14,1
CL205,C470027,V470027,10000,2025-06-21,1
CL206,C514656,V514656,10000,2025-07-07,1
CL207,C323797,V323797,10000,2025-04-28,1
CL208,C742545,V742545,10000,2025-09-28,1
CL209,C16974,V16974,10000,2025-01-06,1
CL210,C103780,V103780,10000,2025-02-06,1
CL211,C804173,V804173,10000,2025-10-21,1
CL212,C766251,V766251,10000,2025-10-07,1
CL213,C16727,V16727,10000,2025-01-06,1
CL214,C180992,V180992,10000,2025-03-07,1
CL215,C349576,V349576,10000,2025-05-07,1
CL216,C304654,V304654,10000,2025-04-21,1
CL217,C684199,V684199,10000,2025-09-07,1
CL218,C121780,V121780,10000,2025-02-13,1
CL219,C513958,V513958,10000,2025-07-07,1
CL220,C160953,V160953,10000,2025-02-27,1
CL221,C553684,V553684,10000,2025-07-21,1
CL222,C405726,V405726,10000,2025-05-28,1
CL223,C637048,V637048,10000,2025-08-21,1
CL224,C657496,V657496,10000,2025-08-28,1
CL225,C932227,V932227,10000,2025-12-07,1
CL226,C303760,V303760,10000,2025-04-21,1
CL227,C870738,V870738,10000,2025-11-14,1
CL228,C952966,V952966,10000,2025-12-14,1
CL229,C553819,V553819,10000,2025-07-21,1
CL230,C200804,V200804,10000,2025-03-14,1
CL231,C683382,V683382,10000,2025-09-07,1
CL232,C120582,V120582,10000,2025-02-13,1
CL233,C804845,V804845,10000,2025-10-21,1
CL234,C991270,V991270,10000,2025-12-28,1
CL235,C386447,V386447,10000,2025-05-21,1
CL236,C347096,V347096,10000,2025-05-07,1
CL237,C823839,V823839,10000,2025-10-28,1
CL238,C367331,V367331,10000,2025-05-14,1
CL239,C825058,V825058,10000,2025-10-28,1
CL240,C491751,V491751,10000,2025-06-28,1
CL241,C304300,V304300,10000,2025-04-21,1
CL242,C637027,V637027,10000,2025-08-21,1
CL243,C387879,V387879,10000,2025-05-21,1
CL244,C103277,V103277,10000,2025-02-06,1
CL245,C286761,V286761,10000,2025-04-14,1
CL246,C685765,V685765,10000,2025-09-07,1
CL247,C740852,V740852,10000,2025-09-28,1
CL248,C637576,V637576,10000,2025-08-21,1
CL249,C239972,V239972,10000,2025-03-28,1
CL250,C951620,V951620,10000,2025-12-14,1
CL251,C434127,V434127,10000,2025-06-07,1
CL252,C889693,V889693,10000,2025-11-21,1
CL253,C367781,V367781,10000,2025-05-14,1
CL254,C102443,V102443,10000,2025-02-06,1
CL255,C803559,V803559,10000,2025-10-21,1
CL256,C534225,V534225,10000,2025-07-14,1
CL257,C35846,V35846,10000,2025-01-13,1
CL258,C765306,V765306,10000,2025-10-07,1
CL259,C869084,V869084,10000,2025-11-14,1
CL260,C16949,V16949,10000,2025-01-06,1
CL261,C684868,V684868,10000,2025-09-07,1
CL262,C990279,V990279,10000,2025-12-28,1
CL263,C387808,V387808,10000,2025-05-21,1
CL264,C385753,V385753,10000,2025-05-21,1
CL265,C57179,V57179,10000,2025-01-20,1
CL266,C989209,V989209,10000,2025-12-28,1
CL267,C18564,V18564,10000,2025-01-06,1
CL268,C552230,V552230,10000,2025-07-21,1
CL269,C451229,V451229,10000,2025-06-14,1
CL270,C284448,V284448,10000,2025-04-14,1
CL271,C471497,V471497,10000,2025-06-21,1
CL272,C850459,V850459,10000,2025-11-07,1
CL273,C767036,V767036,10000,2025-10-07,1
CL274,C637929,V637929,10000,2025-08-21,1
CL275,C472124,V472124,10000,2025-06-21,1
CL276,C657917,V657917,10000,2025-08-28,1
CL277,C704856,V704856,10000,2025-09-14,1
CL278,C784767,V784767,10000,2025-10-14,1
CL279,C18658,V18658,10000,2025-01-06,1
CL280,C684419,V684419,10000,2025-09-07,1
CL281,C991374,V991374,10000,2025-12-28,1
CL282,C266870,V266870,10000,2025-04-07,1
CL283,C219832,V219832,10000,2025-03-21,1
CL284,C889943,V889943,10000,2025-11-21,1
CL285,C304712,V304712,10000,2025-04-21,1
CL286,C367847,V367847,10000,2025-05-14,1
CL287,C266958,V266958,10000,2025-04-07,1
CL288,C285153,V285153,10000,2025-04-14,1
CL289,C17871,V17871,10000,2025-01-06,1
CL290,C57058,V57058,10000,2025-01-20,1
CL291,C740492,V740492,10000,2025-09-28,1
CL292,C516404,V516404,10000,2025-07-07,1
CL293,C472318,V472318,10000,2025-06-21,1
CL294,C323469,V323469,10000,2025-04-28,1
CL295,C182890,V182890,10000,2025-03-07,1
CL296,C490048,V490048,10000,2025-06-28,1
CL297,C805637,V805637,10000,2025-10-21,1
CL298,C219608,V219608,10000,2025-03-21,1
CL299,C599824,V599824,10000,2025-08-07,1
CL300,C35997,V35997,10000,2025-01-13,1
CL301,C305870,V305870,10000,2025-04-21,1
CL302,C869628,V869628,10000,2025-11-14,1
CL303,C323584,V323584,10000,2025-04-28,1
CL304,C387922,V387922,10000,2025-05-21,1
CL305,C766576,V766576,10000,2025-10-07,1
CL306,C182010,V182010,10000,2025-03-07,1
CL307,C265153,V265153,10000,2025-04-07,1
CL308,C907731,V907731,10000,2025-11-28,1
CL309,C851467,V851467,10000,2025-11-07,1
CL310,C952506,V952506,10000,2025-12-14,1
CL311,C573245,V573245,10000,2025-07-28,1
CL312,C952339,V952339,10000,2025-12-14,1
CL313,C740650,V740650,10000,2025-09-28,1
CL314,C804738,V804738,10000,2025-10-21,1
CL315,C431899,V431899,10000,2025-06-07,1
CL316,C637355,V637355,10000,2025-08-21,1
CL317,C989325,V989325,10000,2025-12-28,1
